Group,APM,Appearances,year
"('Cody Zeller', 'Kemba Walker', 'Marvin Williams', 'Michael Kidd-Gilchrist', 'Nicolas Batum')",12.915904490121427,3108,2017
"('Andre Roberson', 'Russell Westbrook', 'Steven Adams', 'Taj Gibson', 'Victor Oladipo')",19.242061820800004,1174,2017
"('Al-Farouq Aminu', 'CJ McCollum', 'Damian Lillard', 'Mason Plumlee', 'Maurice Harkless')",13.81879006418486,1010,2017
"('Andre Drummond', 'Jon Leuer', 'Kentavious Caldwell-Pope', 'Marcus Morris Sr.', 'Reggie Jackson')",3.73692702517212,1608,2017
"('Andre Drummond', 'Ish Smith', 'Kentavious Caldwell-Pope', 'Marcus Morris Sr.', 'Tobias Harris')",3.632514610001704,1933,2017
"('Andre Drummond', 'Kentavious Caldwell-Pope', 'Marcus Morris Sr.', 'Reggie Jackson', 'Tobias Harris')",0.551058981152869,1480,2017
"('Draymond Green', 'Kevin Durant', 'Klay Thompson', 'Stephen Curry', 'Zaza Pachulia')",16.74145854909188,2868,2017
"('Al Horford', 'Amir Johnson', 'Avery Bradley', 'Isaiah Thomas', 'Jae Crowder')",12.247894953261904,2010,2017
"('Al Horford', 'Avery Bradley', 'Isaiah Thomas', 'Jae Crowder', 'Marcus Smart')",8.597248091406327,915,2017
"('Dennis Schroder', 'Dwight Howard', 'Kent Bazemore', 'Paul Millsap', 'Tim Hardaway Jr.')",9.570086448332871,986,2017
"('Brook Lopez', 'Caris LeVert', 'Jeremy Lin', 'Randy Foye', 'Rondae Hollis-Jefferson')",8.240619844391324,1079,2017
"('CJ McCollum', 'Damian Lillard', 'Jusuf Nurkic', 'Maurice Harkless', 'Noah Vonleh')",11.557172181150902,916,2017
"('Dennis Schroder', 'Dwight Howard', 'Kent Bazemore', 'Paul Millsap', 'Thabo Sefolosha')",5.519294117110097,1717,2017
"('Cory Joseph', 'DeMar DeRozan', 'DeMarre Carroll', 'Jonas Valanciunas', 'Serge Ibaka')",8.995665299155052,904,2017
"('Draymond Green', 'Klay Thompson', 'Patrick McCaw', 'Stephen Curry', 'Zaza Pachulia')",12.33599851344115,835,2017
"('CJ Miles', 'Jeff Teague', 'Myles Turner', 'Paul George', 'Thaddeus Young')",11.364273294590344,1878,2017
"('Glenn Robinson III', 'Jeff Teague', 'Myles Turner', 'Paul George', 'Thaddeus Young')",11.307020392469882,1568,2017
"('Dion Waiters', 'Goran Dragic', 'Hassan Whiteside', 'Luke Babbitt', 'Rodney McGruder')",6.1640912164778845,990,2017
"('Aaron Gordon', 'Elfrid Payton', 'Evan Fournier', 'Nikola Vucevic', 'Serge Ibaka')",4.329035702446737,1148,2017
"('Giannis Antetokounmpo', 'Jabari Parker', 'John Henson', 'Matthew Dellavedova', 'Tony Snell')",7.416857232924426,1567,2017
"('Danny Green', 'Kawhi Leonard', 'LaMarcus Aldridge', 'Pau Gasol', 'Tony Parker')",11.593990455145104,1661,2017
"('Dennis Schroder', 'Dwight Howard', 'Kent Bazemore', 'Kyle Korver', 'Paul Millsap')",4.872645787958116,831,2017
"('Andrew Wiggins', 'Gorgui Dieng', 'Karl-Anthony Towns', 'Ricky Rubio', 'Zach LaVine')",6.438172066706989,3426,2017
"('Andre Roberson', 'Domantas Sabonis', 'Russell Westbrook', 'Steven Adams', 'Victor Oladipo')",9.339228913911072,2542,2017
"('Dwyane Wade', 'Jimmy Butler', 'Rajon Rondo', 'Robin Lopez', 'Taj Gibson')",6.585919891123599,1547,2017
"('Brandon Ingram', 'Jordan Clarkson', 'Larry Nance Jr.', 'Lou Williams', 'Tarik Black')",3.178583223411368,804,2017
"('Aaron Gordon', 'Elfrid Payton', 'Evan Fournier', 'Nikola Vucevic', 'Terrence Ross')",11.422516394689564,1711,2017
"('Giannis Antetokounmpo', 'Khris Middleton', 'Malcolm Brogdon', 'Thon Maker', 'Tony Snell')",13.132718768092472,844,2017
"('Andrew Wiggins', 'Brandon Rush', 'Gorgui Dieng', 'Karl-Anthony Towns', 'Ricky Rubio')",7.849131420296122,2346,2017
"('Austin Rivers', 'Jamal Crawford', 'Marreese Speights', 'Raymond Felton', 'Wesley Johnson')",-2.0318767491786938,1007,2017
"('James Harden', 'Montrezl Harrell', 'Patrick Beverley', 'Ryan Anderson', 'Trevor Ariza')",5.886478489414322,805,2017
"('Danilo Gallinari', 'Emmanuel Mudiay', 'Gary Harris', 'Nikola Jokic', 'Wilson Chandler')",10.634917999781845,845,2017
"('JR Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Tristan Thompson')",11.115565315459715,3074,2017
"('Iman Shumpert', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Tristan Thompson')",10.326485724429109,1063,2017
"('Devin Booker', 'Eric Bledsoe', 'Marquese Chriss', 'T.J. Warren', 'Tyson Chandler')",2.4915850010250207,1220,2017
"('Blake Griffin', 'Chris Paul', 'DeAndre Jordan', 'JJ Redick', 'Luc Mbah a Moute')",14.165859791068186,3610,2017
"('Frank Kaminsky', 'Kemba Walker', 'Marvin Williams', 'Michael Kidd-Gilchrist', 'Nicolas Batum')",10.079119191887663,847,2017
"('Dirk Nowitzki', 'Harrison Barnes', 'Seth Curry', 'Wesley Matthews', 'Yogi Ferrell')",9.949910106227836,1032,2017
"('Danny Green', 'Dewayne Dedmon', 'Kawhi Leonard', 'LaMarcus Aldridge', 'Tony Parker')",8.06847086644147,1029,2017
